sona_id,red_jar_percentage,green_jar_percentage,red_jar_initial_probability,red_jar_initial_confidence,green_jar_initial_probability,green_jar_initial_confidence,experiment_start_time,experiment_end_time,demographics_gender,demographics_academic_year,demographics_major,demographics_minor,trial_type,phase,trial_number,timestamp,jar_type,jar_percentage,drawn_ball,ball_sequence,ball_sequence_length,estimated_probability,confidence,reaction_time,sample_balls,correct_jar,incorrect_jar,selected_jar,is_correct
SONA_0001,33,68,60,4,40,2,2026-02-24T12:40:52+00:00,2026-02-24T13:16:52+00:00,female,freshman,Sociology,Statistics,training,,1,2026-02-24T12:40:58+00:00,,,,,,,,,"[""white"", ""white"", ""black"", ""white"", ""black"", ""black"", ""white"", ""white"", ""white"", ""white""]",30,60,60,False
SONA_0001,33,68,60,4,40,2,2026-02-24T12:40:52+00:00,2026-02-24T13:16:52+00:00,female,freshman,Sociology,Statistics,training,,2,2026-02-24T12:41:14+00:00,,,,,,,,,"[""black"", ""black"", ""black"", ""black"", ""white"", ""white"", ""white"", ""black"", ""white"", ""white""]",50,80,50,True
SONA_0001,33,68,60,4,40,2,2026-02-24T12:40:52+00:00,2026-02-24T13:16:52+00:00,female,freshman,Sociology,Statistics,training,,3,2026-02-24T12:41:22+00:00,,,,,,,,,"[""white"", ""black"", ""black"", ""black"", ""black"", ""white"", ""white"", ""black"", ""black"", ""white""]",60,0,0,False
SONA_0001,33,68,60,4,40,2,2026-02-24T12:40:52+00:00,2026-02-24T13:16:52+00:00,female,freshman,Sociology,Statistics,training,,4,2026-02-24T12:41:36+00:00,,,,,,,,,"[""white"", ""black"", ""black"", ""black"", ""black"", ""white"", ""black"", ""black"", ""black"", ""black""]",80,50,80,True
SONA_0001,33,68,60,4,40,2,2026-02-24T12:40:52+00:00,2026-02-24T13:16:52+00:00,female,freshman,Sociology,Statistics,training,,5,2026-02-24T12:41:32+00:00,,,,,,,,,"[""black"", ""black"", ""black"", ""black"", ""white"", ""white"", ""black"", ""black"", ""black"", ""white""]",70,20,70,True
SONA_0001,33,68,60,4,40,2,2026-02-24T12:40:52+00:00,2026-02-24T13:16:52+00:00,female,freshman,Sociology,Statistics,training,,6,2026-02-24T12:41:46+00:00,,,,,,,,,"[""black"", ""black"", ""white"", ""white"", ""black"", ""white"", ""white"", ""white"", ""black"", ""black""]",50,80,50,True
SONA_0001,33,68,60,4,40,2,2026-02-24T12:40:52+00:00,2026-02-24T13:16:52+00:00,female,freshman,Sociology,Statistics,training,,7,2026-02-24T12:41:48+00:00,,,,,,,,,"[""black"", ""black"", ""black"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""black""]",40,70,40,True
SONA_0001,33,68,60,4,40,2,2026-02-24T12:40:52+00:00,2026-02-24T13:16:52+00:00,female,freshman,Sociology,Statistics,training,,8,2026-02-24T12:41:40+00:00,,,,,,,,,"[""white"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black""]",90,50,90,True
SONA_0001,33,68,60,4,40,2,2026-02-24T12:40:52+00:00,2026-02-24T13:16:52+00:00,female,freshman,Sociology,Statistics,training,,9,2026-02-24T12:43:07+00:00,,,,,,,,,"[""black"", ""black"", ""black"", ""black"", ""white"", ""black"", ""black"", ""black"", ""black"", ""black""]",90,20,90,True
SONA_0001,33,68,60,4,40,2,2026-02-24T12:40:52+00:00,2026-02-24T13:16:52+00:00,female,freshman,Sociology,Statistics,training,,10,2026-02-24T12:42:42+00:00,,,,,,,,,"[""white"", ""white"", ""white"", ""white"", ""white"", ""black"", ""white"", ""white"", ""black"", ""white""]",20,50,20,True
SONA_0002,10,100,55,4,50,8,2026-02-24T11:54:07+00:00,2026-02-24T12:39:07+00:00,male,sophomore,Economics,Data Science,training,,1,2026-02-24T11:54:17+00:00,,,,,,,,,"[""white"", ""black"", ""white"", ""black"", ""white"", ""white"", ""black"", ""white"", ""white"", ""white""]",30,90,30,True
SONA_0002,10,100,55,4,50,8,2026-02-24T11:54:07+00:00,2026-02-24T12:39:07+00:00,male,sophomore,Economics,Data Science,training,,2,2026-02-24T11:54:21+00:00,,,,,,,,,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",0,30,0,True
SONA_0002,10,100,55,4,50,8,2026-02-24T11:54:07+00:00,2026-02-24T12:39:07+00:00,male,sophomore,Economics,Data Science,training,,3,2026-02-24T11:54:25+00:00,,,,,,,,,"[""white"", ""white"", ""black"", ""white"", ""white"", ""black"", ""white"", ""white"", ""white"", ""white""]",20,40,20,True
SONA_0002,10,100,55,4,50,8,2026-02-24T11:54:07+00:00,2026-02-24T12:39:07+00:00,male,sophomore,Economics,Data Science,training,,4,2026-02-24T11:54:51+00:00,,,,,,,,,"[""white"", ""white"", ""black"", ""white"", ""white"", ""white"", ""black"", ""white"", ""black"", ""black""]",40,70,40,True
SONA_0002,10,100,55,4,50,8,2026-02-24T11:54:07+00:00,2026-02-24T12:39:07+00:00,male,sophomore,Economics,Data Science,training,,5,2026-02-24T11:54:47+00:00,,,,,,,,,"[""black"", ""black"", ""white"", ""black"", ""white"", ""black"", ""black"", ""black"", ""black"", ""white""]",70,100,70,True
SONA_0002,10,100,55,4,50,8,2026-02-24T11:54:07+00:00,2026-02-24T12:39:07+00:00,male,sophomore,Economics,Data Science,training,,6,2026-02-24T11:54:55+00:00,,,,,,,,,"[""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black""]",100,60,100,True
SONA_0002,10,100,55,4,50,8,2026-02-24T11:54:07+00:00,2026-02-24T12:39:07+00:00,male,sophomore,Economics,Data Science,training,,7,2026-02-24T11:54:49+00:00,,,,,,,,,"[""black"", ""black"", ""white"", ""black"", ""white"", ""white"", ""white"", ""black"", ""black"", ""white""]",50,100,100,False
SONA_0002,10,100,55,4,50,8,2026-02-24T11:54:07+00:00,2026-02-24T12:39:07+00:00,male,sophomore,Economics,Data Science,training,,8,2026-02-24T11:55:27+00:00,,,,,,,,,"[""white"", ""black"", ""white"", ""white"", ""black"", ""black"", ""black"", ""black"", ""white"", ""black""]",60,10,60,True
SONA_0002,10,100,55,4,50,8,2026-02-24T11:54:07+00:00,2026-02-24T12:39:07+00:00,male,sophomore,Economics,Data Science,training,,9,2026-02-24T11:56:04+00:00,,,,,,,,,"[""black"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""black"", ""white""]",20,0,20,True
SONA_0002,10,100,55,4,50,8,2026-02-24T11:54:07+00:00,2026-02-24T12:39:07+00:00,male,sophomore,Economics,Data Science,training,,10,2026-02-24T11:55:17+00:00,,,,,,,,,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",0,30,0,True
SONA_0003,68,46,45,3,40,7,2026-02-24T10:29:11+00:00,2026-02-24T11:03:11+00:00,male,freshman,Philosophy,,training,,1,2026-02-24T10:29:19+00:00,,,,,,,,,"[""black"", ""white"", ""black"", ""white"", ""black"", ""black"", ""white"", ""black"", ""black"", ""black""]",70,100,70,True
SONA_0003,68,46,45,3,40,7,2026-02-24T10:29:11+00:00,2026-02-24T11:03:11+00:00,male,freshman,Philosophy,,training,,2,2026-02-24T10:29:25+00:00,,,,,,,,,"[""black"", ""white"", ""black"", ""black"", ""white"", ""white"", ""white"", ""black"", ""black"", ""black""]",60,20,60,True
SONA_0003,68,46,45,3,40,7,2026-02-24T10:29:11+00:00,2026-02-24T11:03:11+00:00,male,freshman,Philosophy,,training,,3,2026-02-24T10:29:47+00:00,,,,,,,,,"[""white"", ""white"", ""black"", ""white"", ""white"", ""white"", ""white"", ""white"", ""black"", ""black""]",30,10,10,False
SONA_0003,68,46,45,3,40,7,2026-02-24T10:29:11+00:00,2026-02-24T11:03:11+00:00,male,freshman,Philosophy,,training,,4,2026-02-24T10:30:11+00:00,,,,,,,,,"[""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""white"", ""black""]",90,60,90,True
SONA_0003,68,46,45,3,40,7,2026-02-24T10:29:11+00:00,2026-02-24T11:03:11+00:00,male,freshman,Philosophy,,training,,5,2026-02-24T10:30:21+00:00,,,,,,,,,"[""black"", ""black"", ""white"", ""white"", ""white"", ""white"", ""white"", ""black"", ""black"", ""white""]",40,60,60,False
SONA_0003,68,46,45,3,40,7,2026-02-24T10:29:11+00:00,2026-02-24T11:03:11+00:00,male,freshman,Philosophy,,training,,6,2026-02-24T10:29:53+00:00,,,,,,,,,"[""white"", ""white"", ""black"", ""white"", ""white"", ""black"", ""white"", ""white"", ""white"", ""black""]",30,10,30,True
SONA_0003,68,46,45,3,40,7,2026-02-24T10:29:11+00:00,2026-02-24T11:03:11+00:00,male,freshman,Philosophy,,training,,7,2026-02-24T10:30:00+00:00,,,,,,,,,"[""black"", ""white"", ""white"", ""black"", ""white"", ""black"", ""black"", ""black"", ""white"", ""black""]",60,0,60,True
SONA_0003,68,46,45,3,40,7,2026-02-24T10:29:11+00:00,2026-02-24T11:03:11+00:00,male,freshman,Philosophy,,training,,8,2026-02-24T10:30:47+00:00,,,,,,,,,"[""black"", ""white"", ""white"", ""black"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",20,80,20,True
SONA_0003,68,46,45,3,40,7,2026-02-24T10:29:11+00:00,2026-02-24T11:03:11+00:00,male,freshman,Philosophy,,training,,9,2026-02-24T10:31:26+00:00,,,,,,,,,"[""white"", ""white"", ""white"", ""white"", ""black"", ""white"", ""white"", ""black"", ""white"", ""white""]",20,100,20,True
SONA_0003,68,46,45,3,40,7,2026-02-24T10:29:11+00:00,2026-02-24T11:03:11+00:00,male,freshman,Philosophy,,training,,10,2026-02-24T10:31:11+00:00,,,,,,,,,"[""white"", ""white"", ""black"", ""black"", ""white"", ""black"", ""white"", ""white"", ""black"", ""white""]",40,60,40,True
SONA_0004,68,36,45,1,45,3,2026-02-24T15:20:27+00:00,2026-02-24T15:51:27+00:00,non-binary,junior,History,,training,,1,2026-02-24T15:20:36+00:00,,,,,,,,,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""black"", ""white""]",10,30,30,False
SONA_0004,68,36,45,1,45,3,2026-02-24T15:20:27+00:00,2026-02-24T15:51:27+00:00,non-binary,junior,History,,training,,2,2026-02-24T15:20:49+00:00,,,,,,,,,"[""white"", ""white"", ""white"", ""white"", ""white"", ""black"", ""black"", ""black"", ""white"", ""white""]",30,10,30,True
SONA_0004,68,36,45,1,45,3,2026-02-24T15:20:27+00:00,2026-02-24T15:51:27+00:00,non-binary,junior,History,,training,,3,2026-02-24T15:20:45+00:00,,,,,,,,,"[""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black""]",100,50,100,True
SONA_0004,68,36,45,1,45,3,2026-02-24T15:20:27+00:00,2026-02-24T15:51:27+00:00,non-binary,junior,History,,training,,4,2026-02-24T15:21:11+00:00,,,,,,,,,"[""white"", ""black"", ""white"", ""black"", ""white"", ""white"", ""black"", ""white"", ""black"", ""black""]",50,10,10,False
SONA_0004,68,36,45,1,45,3,2026-02-24T15:20:27+00:00,2026-02-24T15:51:27+00:00,non-binary,junior,History,,training,,5,2026-02-24T15:21:02+00:00,,,,,,,,,"[""black"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""black"", ""black""]",30,70,30,True
SONA_0004,68,36,45,1,45,3,2026-02-24T15:20:27+00:00,2026-02-24T15:51:27+00:00,non-binary,junior,History,,training,,6,2026-02-24T15:21:33+00:00,,,,,,,,,"[""black"", ""white"", ""white"", ""white"", ""black"", ""white"", ""white"", ""white"", ""white"", ""white""]",20,0,20,True
SONA_0004,68,36,45,1,45,3,2026-02-24T15:20:27+00:00,2026-02-24T15:51:27+00:00,non-binary,junior,History,,training,,7,2026-02-24T15:21:23+00:00,,,,,,,,,"[""white"", ""white"", ""white"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""white""]",60,100,100,False
SONA_0004,68,36,45,1,45,3,2026-02-24T15:20:27+00:00,2026-02-24T15:51:27+00:00,non-binary,junior,History,,training,,8,2026-02-24T15:22:19+00:00,,,,,,,,,"[""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black""]",100,60,100,True
SONA_0004,68,36,45,1,45,3,2026-02-24T15:20:27+00:00,2026-02-24T15:51:27+00:00,non-binary,junior,History,,training,,9,2026-02-24T15:21:39+00:00,,,,,,,,,"[""white"", ""white"", ""black"", ""black"", ""white"", ""black"", ""white"", ""black"", ""black"", ""white""]",50,100,50,True
SONA_0004,68,36,45,1,45,3,2026-02-24T15:20:27+00:00,2026-02-24T15:51:27+00:00,non-binary,junior,History,,training,,10,2026-02-24T15:22:27+00:00,,,,,,,,,"[""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""white"", ""black"", ""black"", ""black""]",90,20,20,False
SONA_0005,38,24,55,3,45,6,2026-02-24T10:14:44+00:00,2026-02-24T10:49:44+00:00,male,masters,Biology,Statistics,training,,1,2026-02-24T10:14:56+00:00,,,,,,,,,"[""black"", ""white"", ""white"", ""white"", ""black"", ""white"", ""white"", ""black"", ""black"", ""black""]",50,70,50,True
SONA_0005,38,24,55,3,45,6,2026-02-24T10:14:44+00:00,2026-02-24T10:49:44+00:00,male,masters,Biology,Statistics,training,,2,2026-02-24T10:14:56+00:00,,,,,,,,,"[""black"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",10,30,30,False
SONA_0005,38,24,55,3,45,6,2026-02-24T10:14:44+00:00,2026-02-24T10:49:44+00:00,male,masters,Biology,Statistics,training,,3,2026-02-24T10:15:14+00:00,,,,,,,,,"[""white"", ""white"", ""black"", ""white"", ""black"", ""white"", ""white"", ""white"", ""black"", ""white""]",30,90,30,True
SONA_0005,38,24,55,3,45,6,2026-02-24T10:14:44+00:00,2026-02-24T10:49:44+00:00,male,masters,Biology,Statistics,training,,4,2026-02-24T10:15:40+00:00,,,,,,,,,"[""black"", ""white"", ""white"", ""white"", ""white"", ""black"", ""white"", ""white"", ""white"", ""white""]",20,70,20,True
SONA_0005,38,24,55,3,45,6,2026-02-24T10:14:44+00:00,2026-02-24T10:49:44+00:00,male,masters,Biology,Statistics,training,,5,2026-02-24T10:15:19+00:00,,,,,,,,,"[""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""white"", ""black""]",90,30,90,True
SONA_0005,38,24,55,3,45,6,2026-02-24T10:14:44+00:00,2026-02-24T10:49:44+00:00,male,masters,Biology,Statistics,training,,6,2026-02-24T10:15:26+00:00,,,,,,,,,"[""white"", ""black"", ""black"", ""white"", ""black"", ""white"", ""black"", ""black"", ""black"", ""black""]",70,40,70,True
SONA_0005,38,24,55,3,45,6,2026-02-24T10:14:44+00:00,2026-02-24T10:49:44+00:00,male,masters,Biology,Statistics,training,,7,2026-02-24T10:15:33+00:00,,,,,,,,,"[""white"", ""white"", ""black"", ""white"", ""black"", ""white"", ""black"", ""white"", ""black"", ""white""]",40,80,40,True
SONA_0005,38,24,55,3,45,6,2026-02-24T10:14:44+00:00,2026-02-24T10:49:44+00:00,male,masters,Biology,Statistics,training,,8,2026-02-24T10:16:44+00:00,,,,,,,,,"[""white"", ""white"", ""black"", ""white"", ""black"", ""white"", ""white"", ""black"", ""white"", ""black""]",40,90,40,True
SONA_0005,38,24,55,3,45,6,2026-02-24T10:14:44+00:00,2026-02-24T10:49:44+00:00,male,masters,Biology,Statistics,training,,9,2026-02-24T10:15:47+00:00,,,,,,,,,"[""white"", ""black"", ""black"", ""white"", ""white"", ""black"", ""black"", ""black"", ""white"", ""white""]",50,100,50,True
SONA_0005,38,24,55,3,45,6,2026-02-24T10:14:44+00:00,2026-02-24T10:49:44+00:00,male,masters,Biology,Statistics,training,,10,2026-02-24T10:17:04+00:00,,,,,,,,,"[""black"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""black"", ""white"", ""white""]",20,50,20,True
SONA_0006,25,79,65,4,35,3,2026-02-24T15:43:40+00:00,2026-02-24T16:21:40+00:00,male,sophomore,Sociology,Psychology,training,,1,2026-02-24T15:43:54+00:00,,,,,,,,,"[""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black""]",100,40,100,True
SONA_0006,25,79,65,4,35,3,2026-02-24T15:43:40+00:00,2026-02-24T16:21:40+00:00,male,sophomore,Sociology,Psychology,training,,2,2026-02-24T15:44:10+00:00,,,,,,,,,"[""white"", ""black"", ""white"", ""black"", ""black"", ""black"", ""black"", ""black"", ""white"", ""black""]",70,50,70,True
SONA_0006,25,79,65,4,35,3,2026-02-24T15:43:40+00:00,2026-02-24T16:21:40+00:00,male,sophomore,Sociology,Psychology,training,,3,2026-02-24T15:43:58+00:00,,,,,,,,,"[""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black""]",100,80,100,True
SONA_0006,25,79,65,4,35,3,2026-02-24T15:43:40+00:00,2026-02-24T16:21:40+00:00,male,sophomore,Sociology,Psychology,training,,4,2026-02-24T15:44:32+00:00,,,,,,,,,"[""white"", ""white"", ""white"", ""white"", ""black"", ""white"", ""black"", ""white"", ""white"", ""white""]",20,40,20,True
SONA_0006,25,79,65,4,35,3,2026-02-24T15:43:40+00:00,2026-02-24T16:21:40+00:00,male,sophomore,Sociology,Psychology,training,,5,2026-02-24T15:44:15+00:00,,,,,,,,,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",0,60,60,False
SONA_0006,25,79,65,4,35,3,2026-02-24T15:43:40+00:00,2026-02-24T16:21:40+00:00,male,sophomore,Sociology,Psychology,training,,6,2026-02-24T15:44:46+00:00,,,,,,,,,"[""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black""]",100,30,30,False
SONA_0006,25,79,65,4,35,3,2026-02-24T15:43:40+00:00,2026-02-24T16:21:40+00:00,male,sophomore,Sociology,Psychology,training,,7,2026-02-24T15:44:36+00:00,,,,,,,,,"[""white"", ""black"", ""white"", ""white"", ""white"", ""white"", ""black"", ""white"", ""white"", ""white""]",20,80,20,True
SONA_0006,25,79,65,4,35,3,2026-02-24T15:43:40+00:00,2026-02-24T16:21:40+00:00,male,sophomore,Sociology,Psychology,training,,8,2026-02-24T15:45:00+00:00,,,,,,,,,"[""black"", ""black"", ""white"", ""black"", ""white"", ""black"", ""white"", ""white"", ""white"", ""black""]",50,0,50,True
SONA_0006,25,79,65,4,35,3,2026-02-24T15:43:40+00:00,2026-02-24T16:21:40+00:00,male,sophomore,Sociology,Psychology,training,,9,2026-02-24T15:45:28+00:00,,,,,,,,,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",0,40,0,True
SONA_0006,25,79,65,4,35,3,2026-02-24T15:43:40+00:00,2026-02-24T16:21:40+00:00,male,sophomore,Sociology,Psychology,training,,10,2026-02-24T15:44:40+00:00,,,,,,,,,"[""black"", ""black"", ""black"", ""white"", ""black"", ""black"", ""black"", ""white"", ""black"", ""white""]",70,100,70,True
SONA_0007,19,32,55,6,50,4,2026-02-24T13:52:35+00:00,2026-02-24T14:27:35+00:00,male,senior,Sociology,,training,,1,2026-02-24T13:52:47+00:00,,,,,,,,,"[""white"", ""black"", ""black"", ""white"", ""black"", ""white"", ""black"", ""white"", ""black"", ""white""]",50,30,50,True
SONA_0007,19,32,55,6,50,4,2026-02-24T13:52:35+00:00,2026-02-24T14:27:35+00:00,male,senior,Sociology,,training,,2,2026-02-24T13:52:53+00:00,,,,,,,,,"[""black"", ""white"", ""white"", ""black"", ""white"", ""white"", ""black"", ""black"", ""black"", ""black""]",60,30,60,True
SONA_0007,19,32,55,6,50,4,2026-02-24T13:52:35+00:00,2026-02-24T14:27:35+00:00,male,senior,Sociology,,training,,3,2026-02-24T13:52:56+00:00,,,,,,,,,"[""white"", ""white"", ""white"", ""white"", ""black"", ""white"", ""white"", ""white"", ""white"", ""white""]",10,70,70,False
SONA_0007,19,32,55,6,50,4,2026-02-24T13:52:35+00:00,2026-02-24T14:27:35+00:00,male,senior,Sociology,,training,,4,2026-02-24T13:53:27+00:00,,,,,,,,,"[""white"", ""white"", ""white"", ""white"", ""white"", ""black"", ""black"", ""white"", ""white"", ""white""]",20,60,20,True
SONA_0007,19,32,55,6,50,4,2026-02-24T13:52:35+00:00,2026-02-24T14:27:35+00:00,male,senior,Sociology,,training,,5,2026-02-24T13:53:10+00:00,,,,,,,,,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",0,100,0,True
SONA_0007,19,32,55,6,50,4,2026-02-24T13:52:35+00:00,2026-02-24T14:27:35+00:00,male,senior,Sociology,,training,,6,2026-02-24T13:53:41+00:00,,,,,,,,,"[""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black""]",100,80,100,True
SONA_0007,19,32,55,6,50,4,2026-02-24T13:52:35+00:00,2026-02-24T14:27:35+00:00,male,senior,Sociology,,training,,7,2026-02-24T13:53:45+00:00,,,,,,,,,"[""white"", ""black"", ""black"", ""white"", ""black"", ""black"", ""white"", ""white"", ""white"", ""black""]",50,10,50,True
SONA_0007,19,32,55,6,50,4,2026-02-24T13:52:35+00:00,2026-02-24T14:27:35+00:00,male,senior,Sociology,,training,,8,2026-02-24T13:54:35+00:00,,,,,,,,,"[""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black""]",100,0,100,True
SONA_0007,19,32,55,6,50,4,2026-02-24T13:52:35+00:00,2026-02-24T14:27:35+00:00,male,senior,Sociology,,training,,9,2026-02-24T13:53:47+00:00,,,,,,,,,"[""white"", ""black"", ""black"", ""white"", ""white"", ""black"", ""white"", ""white"", ""black"", ""black""]",50,100,50,True
SONA_0007,19,32,55,6,50,4,2026-02-24T13:52:35+00:00,2026-02-24T14:27:35+00:00,male,senior,Sociology,,training,,10,2026-02-24T13:53:55+00:00,,,,,,,,,"[""white"", ""white"", ""black"", ""black"", ""white"", ""white"", ""white"", ""white"", ""black"", ""white""]",30,100,30,True
SONA_0008,98,19,60,4,55,6,2026-02-24T09:50:21+00:00,2026-02-24T10:22:21+00:00,prefer-not-to-share,junior,Neuroscience,,training,,1,2026-02-24T09:50:36+00:00,,,,,,,,,"[""black"", ""black"", ""black"", ""black"", ""black"", ""white"", ""black"", ""black"", ""black"", ""black""]",90,50,90,True
SONA_0008,98,19,60,4,55,6,2026-02-24T09:50:21+00:00,2026-02-24T10:22:21+00:00,prefer-not-to-share,junior,Neuroscience,,training,,2,2026-02-24T09:50:35+00:00,,,,,,,,,"[""black"", ""black"", ""white"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black""]",90,0,90,True
SONA_0008,98,19,60,4,55,6,2026-02-24T09:50:21+00:00,2026-02-24T10:22:21+00:00,prefer-not-to-share,junior,Neuroscience,,training,,3,2026-02-24T09:51:03+00:00,,,,,,,,,"[""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""white"", ""black"", ""white"", ""black""]",80,100,80,True
SONA_0008,98,19,60,4,55,6,2026-02-24T09:50:21+00:00,2026-02-24T10:22:21+00:00,prefer-not-to-share,junior,Neuroscience,,training,,4,2026-02-24T09:50:53+00:00,,,,,,,,,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",0,60,60,False
SONA_0008,98,19,60,4,55,6,2026-02-24T09:50:21+00:00,2026-02-24T10:22:21+00:00,prefer-not-to-share,junior,Neuroscience,,training,,5,2026-02-24T09:50:51+00:00,,,,,,,,,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",0,80,0,True
SONA_0008,98,19,60,4,55,6,2026-02-24T09:50:21+00:00,2026-02-24T10:22:21+00:00,prefer-not-to-share,junior,Neuroscience,,training,,6,2026-02-24T09:51:45+00:00,,,,,,,,,"[""black"", ""white"", ""black"", ""black"", ""black"", ""white"", ""white"", ""black"", ""black"", ""black""]",70,20,70,True
